Pro,Con,Judges,Votes,Win
Strake Jesuit  CM,Regis FP,"Cristian Abarca																																						Rachel Rothschild																																						Joanna Mitri","Con																															Pro																															Pro","2-1																															PRO"
Milton Acad WL,Lexington LX,"Sakshi Katyal																																						Anvar Nurullayev																																						Helen Mancini","Pro																															Pro																															Pro","3-0																															PRO"
Germantown Friends PX,Newton South PW,"Henrina Zhang																																						Benjamin Redler																																						Lexie Malik","Con																															Pro																															Pro","2-1																															PRO"
Ridge SP,CR North KV,"Henrina Zhang																																						Benjamin Redler																																						Lexie Malik","Con																															Con																															Con","3-0																															CON"
Pembroke Pines Charter AR,Palm Beach Independent PM,"Lucas Powell																																						Charlie Walker																																						Roshni Mohan","Con																															Con																															Pro","2-1																															CON"
Hunter TW,Arizona Chandler Independent VV,"Sakshi Katyal																																						Anvar Nurullayev																																						Helen Mancini","Pro																															Pro																															Pro","3-0																															PRO"
Livingston YZ,Arlington LC,"Sienna Vaughn																																						Dylan Pope																																						Sumukh Tendulkar","Con																															Con																															Pro","2-1																															CON"
Pingry PW,Strake Jesuit  HL,"Arrman Kapoor																																						Samantha Gerber																																						Zain Kapoor","Con																															Con																															Con","3-0																															CON"
Bergen WZ,Plano West ZZ,"Bashir Eltyeb																																						Sahil Sood																																						Daniel Guo","Pro																															Pro																															Con","2-1																															PRO"
Richard Montgomery WY,VDA - Vancouver TZ,"Nan Yao																																						Emma Golden																																						Gauri Patil","Con																															Con																															Con","3-0																															CON"
Basis Langley Independent RC,Strake Jesuit  DK,"Bradley Foerster																																						Andrew Fostiropoulos																																						Clare Rajapakse","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science MN,Mountain Brook LH,"Judah Jones																																						Vishal Surya																																						Campbell Haire","Pro																															Con																															Pro","2-1																															PRO"
Princeton Independent WT,Strake Jesuit  SS,"Sheryl Kaczmarek																																						Sameer Kapasi																																						Henry Anastasi-Scott","Pro																															Pro																															Pro","3-0																															PRO"
Browning SB,Princeton Independent SH,"Bhupesh Panwar																																						Prajakta Kapure																																						Ben Chen","Con																															Con																															Con","3-0																															CON"
National Debate Club (NDC) LL,Lambert Independent ML,"Satvik Mahendra																																						Dennis O'Donnell																																						Charlie Yeh","Pro																															Pro																															Pro","3-0																															PRO"
Summit AH,Avenues: The World CB,"Sienna Vaughn																																						Dylan Pope																																						Sumukh Tendulkar","Con																															Con																															Con","3-0																															CON"
Durham BH,Scarsdale HW,"Kenneth Leja																																						Joe Augustine																																						Evan McElfresh","Con																															Pro																															Pro","2-1																															PRO"
Millburn CT,Sidwell CJ,"Cale McCrary																																						Dessie Yang																																						Aumrita Savdharia","Con																															Pro																															Pro","2-1																															PRO"
Chattahoochee RC,Regis MF,"Katherine Arias																																						Jianguo Wang																																						Denzel Bell","Con																															Con																															Pro","2-1																															CON"
Strake Jesuit  SH,Harbinger XW,"Venkat Tadi																																						Robert Heinsen																																						Ife Adedokun","Pro																															Con																															Con","2-1																															CON"
Newton South LS,Summit MT,"Colin Downes																																						Susan Zana																																						Dean Carman","Con																															Pro																															Pro","2-1																															PRO"
Acton-Boxborough EK,Lincoln GS,"Will Hobson																																						Ruslan Arbit																																						Eric Liu","Con																															Pro																															Pro","2-1																															PRO"
Oxbridge DV,Avenues: The World JY,"Lucas Powell																																						Charlie Walker																																						Roshni Mohan","Con																															Con																															Con","3-0																															CON"
American Heritage Broward FA,Stuyvesant LB,"Bradley Foerster																																						Andrew Fostiropoulos																																						Clare Rajapakse","Con																															Con																															Pro","2-1																															CON"
Palo Verde ZV,Livingston NT,"Nisha Sumesh																																						Young Cho																																						Suman Annambhotla","Con																															Con																															Con","3-0																															CON"
Newton South LL,Newton South KL,,Newton South KL advances,Newton South KL advances
