Institution,Location,Entry,Code,Mode,Record,hash
Kansas,KS/US,Owings & Willingham,Kansas WO,0,,0b8b78583e7e350747698c0fcd12c997ec45d6384721a0957250486ab5d4a0f3
Kentucky,KY/US,Gabay & Slish,Kentucky GS,0,,ac5d8738c8afafdc803b3ff146e31b62f15abf1c1a36ccf2f5ccb1a643e425fc
Kentucky,KY/US,Rimpson & Schedler,Kentucky SR,0,,d6177aa0817fc43cd7b34acaf95158f5d49ed0570b0c7d7c2b1b7c2873f4f0c7
Liberty,VA/US,Cunningham & Layton,Liberty CL,0,,5b44f9f319086163cad421a066d023e1132a9114298f6d423891a133f490a1a9
Liberty,VA/US,Soares & Spencer,Liberty SS,0,,6b4a3eba752977e6422125dc6346b61f977b040741ff6c44af0094ef3918f364
Macalester,MN/US,Harrison & Kochel,Macalester KH,0,,5eb2e6c6bd1a624fb3776673991e197198379ab40b652888dd7f6504b1bb8c44
Macalester,MN/US,Durbin & Winters,Macalester WD,0,,6edd052a68249564356389adcd81abd329f869635acddada36ab708c7eeb5c3c
Michigan,MI/US,Agustin & Ou,Michigan AO,0,,9f8fd3f756e41c3393a18840f8cb3a529dc844a1bb7cfe79e8730152c2b746db
Michigan,MI/US,Barrett & Esmailzadeh,Michigan BE,0,,5e15970081f869f7a7cbc6bd790ea07850a61dddcbf0cde8042ca99847144e45
Michigan,MI/US,Baba & Ledesma,Michigan BL,0,,74c80599c6f6a69dbba28bdd20593c7e595eb913a769995542c2a61ad7080467
Michigan,MI/US,Chamarthy & Chen,Michigan CC,0,,b7dad514f461892153899c318a1aa97d0d7bbfb652f125bc3922078088a4032d
Michigan,MI/US,Shah & Shetty,Michigan SS,0,,7b7e747677df35520ababbdcdaa7c45a8d845d08c1e26763133654476f32e05a
Michigan State,MI/US,Foster & Martin,Michigan State FM,0,,37ccc3e7fc9d42c2164c1379029e0bb36fa7b55bd74fb3ff6cbb6d2e7d7a4d2f
Michigan State,MI/US,Gusis & Lewis,Michigan State GL,0,,afa5e5e133d3d08523f9973a37f8f25e3baebabdb147d3fe6aea9d67ebe5c1e8
Michigan State,MI/US,Gearring & Shehzad,Michigan State GS,0,,31cdc485517416b912015054f5a12742f242e49dfc8cef49728d8944b772a8a9
Michigan State,MI/US,Jarman & Scully,Michigan State JS,0,,02a4ea2b028c1fb1101ab3d506e2d182369c5fc3f04949e266b263c6bf379dcc
Minnesota,MN/US,Brown & Munson,Minnesota BM,0,,6ec2cb96db9104eded85d88df83879f79bec8565509bbb86adae206fd6f3e6fb
Minnesota,MN/US,Haber-Fawcett & Usenov,Minnesota HU,0,,ae6c4a012c02617224f5be72ba5d62cd04d9e687f4e12be174ec78cf4af12fd6
MoState,MO/US,DeAngelis & Neal,MoState DN,0,,e6239ff5ab65241f1fa481451f39896ba67499adbdcbd78112b542fd5f19094e
MoState,MO/US,Neal & Siever,MoState NS,0,,8850b9f78ad32cda97f5c847138991ed17510c657ed9d47c8e91955edffe144f
Northwestern,IL/US,Arceo & Kung,Northwestern AK,1,,150ded02955f9b40484e66054e60701f7436a72056ae9accc5bb6bd65bc2fb21
Northwestern,IL/US,Arney & Tahirkheli,Northwestern AT,0,,5a3aa36339a442f0085c18e11d22ad644bbef4f1346c4a4dbbf30a9baff406dd
Northwestern,IL/US,Heftman & Peltier,Northwestern HP,1,,dc68d7ec3dfe64b91245e6a78dfdf30a0d19f2e515c550f066d1e29e472cfa02
Northwestern,IL/US,Li & Rubin,Northwestern LR,0,,d1025dc898ac4f1e0055944d4d94ac8492887fd39e05e127d835fd8752c360e0
Northwestern,IL/US,Lee & Weisz,Northwestern LW,0,,93aeb73a4586475755fc80396f1ebcb19a56fe83d76f10f44eb42abd49a971d6
Southern California,CA/US,Bhadani & Rahman,Southern California BR,1,,d8c01391c642249a628db739d2d87a6870ada41e391fe3980a6a5600a3290944
Texas,TX/US,Feinstein & Low,Texas FL,0,,36a92431aad844c542be3ff764178acc58fc934f8342f895dc625aa8c4ac4965
UC Berkeley,CA/US,Gilrain-Lennon & Situ,UC Berkeley GS,1,,91da3fb46c024cec610795b4521a650eeac61f2a0ca2d4559ef722695170ff5a
UC Berkeley,CA/US,Menotti & Reichel,UC Berkeley RM,1,,ca5d91637c6bbd316587e14062a3a331690a802a8ee6eb0eae06345e0495f626
UTD,TX/US,D'Antuono & Dickey,UTD DD,0,,b6aaad9d02b8e5715389298850ed4db89b71834bc0d13b97fab3afaec27e2c30
UTD,TX/US,Hale & Karthik,UTD KH,0,,a3f13fae4a06221597534bebaf20a68311c4f01f9cc561c827e5ae2870ece5a9
UTD,TX/US,Khakoo & Ramirez,UTD KR,1,,aea922e11940ef0a614878a8bc5092510374f4dad2640b7889e4d60f238b3b1b
UTD,TX/US,Penumetcha & Ravi,UTD PR,0,,7d2ac3f5d9c1d34e5676070a2b65d543516b9d2bfe49e4ab69a142523403821e
Wake Forest,NC/US,Dingley & Kampine,Wake Forest DK,0,,eab0826f45403e0888e5681d43a2809c82a0f3f807476eff816ed938d1affda3
Western Kentucky,KY/US,Fournier & Ney,Western Kentucky FN,0,,848e21a480a904f1e85873386cd999741837b6dfa6132755378104ba8c4a7e63
Western Kentucky,KY/US,Carter & Kumar,Western Kentucky KC,0,,da01914488816692dab29707fb796f76b2faffe8a396c1ada0e8966bdeab666c
Western Kentucky,KY/US,Schintgen & StPeter,Western Kentucky SS,0,,adf0b4505edd96a0d88e2898c061f63062cea30a904a4a50dfc430c4effa17cc
