Institution,Location,Entry,Code,Mode,Record
Kansas State,KS/US,Spurlock & Draeger,Kansas State DS,0,
Kansas State,KS/US,Robertson & Sum,Kansas State SR,0,
Kansas State,KS/US,Day & Williamson,Kansas State WD,0,
Louisville,KY/US,Naidugari & Stevenson,Louisville NS,0,
Louisville,KY/US,Johnson & Van Dyke,Louisville VJ,0,
MoState,MO/US,DeAngelis & Neal,MoState DN,1,
New School,NY/US,Curran(StJohns) & Lyday,New School/Wyoming CL,0,
North Texas,TX/US,Hasper & Paruchuri,North Texas PH,1,
North Texas,TX/US,Vazquez & Busa,North Texas VaBu,1,
North Texas,TX/US,Vargas & bowman,North Texas VB,1,
Northern Iowa,IA/US,Van Buren & Miller,Northern Iowa MV,0,
Northwestern,IL/US,Nestor & Patterson,Northwestern NP,0,
NYU,NY/US,Jain & Theiding,NYU JT,0,
NYU,NY/US,Lee & Zolkin,NYU LZ,0,
NYU,NY/US,Makinde & Saigal,NYU MS,0,
NYU,NY/US,Travers & Tseng,NYU TT,0,
NYU,NY/US,Modi & Sheffield,NYU/Houston MS,0,
Oklahoma,OK/US,Ballinger & Wright,Oklahoma BW,0,
Oklahoma,OK/US,Fulkerson & Duncan,Oklahoma DF,1,
Rochester,NY/US,Cook & Barve,Rochester CB,0,
Rochester,NY/US,Ozcayir & Rahman,Rochester OR,0,
Southwestern,CA/US,Ayekof & Flores Palacios,Southwestern AF,0,
Southwestern,CA/US,Arciniega & Figueroa,Southwestern ArFi,0,
Suffolk,MA/US,DaCruz & Zakonov,Suffolk DZ,0,
Towson,MD/US,Darden & Persaud,Towson DP,0,
Towson,MD/US,Lemessy & Abouelmagd,Towson LA,0,
Towson,MD/US,Madison & Ramos,Towson MR,0,
Trinity,TX/US,Barden & Khalikov,Trinity BK,0,
Trinity,TX/US,Crowley & Olabanji,Trinity CO,0,
Trinity,TX/US,Patterson & King,Trinity KP,0,
UMKC,MO/US,Cowdrey-Mota & Rice,UMKC/MoState RC,1,
UT San Antonio,TX/US,Carrillo & Garza,UT San Antonio CG,0,
UT San Antonio,TX/US,Gilbert & Jackson,UT San Antonio GJ,0,
UT San Antonio,TX/US,Paschall & Alonzo,UT San Antonio PA,0,
UT San Antonio,TX/US,Panda & Srivatsan,UT San Antonio PS,0,
Utah,UT/US,Boscan & Verbeck-O'Brien,Utah BV,0,
Utah,UT/US,Funai & Kingery,Utah FK,0,
Utah,UT/US,Tyler & Hicks,Utah TH,0,
UTD,TX/US,D'Antuono & Dickey,UTD DD,1,
UTD,TX/US,Hale & Kumar,UTD/Western Kentucky,1,
Wake Forest,NC/US,Aderibigbe & Brown,Wake Forest AB,0,
Wake Forest,NC/US,Hale & Namikas,Wake Forest HN,0,
Wake Forest,NC/US,Sampat & Mbye,Wake Forest MS,0,
Wake Forest,NC/US,Patel & Wolfe,Wake Forest PW,0,
West Georgia,GA/US,Kennon & Missell,West Georgia KM,0,
West Georgia,GA/US,Lovering & Handley,West Georgia LH,0,
Wichita State,KS/US,Griffith & Molina Chavez,Wichita State GM,1,
Wyoming,WY/US,Campbell & Hawley,Wyoming CH,0,
Wyoming,WY/US,Morrison & Willson,Wyoming MW,0,
Wyoming,WY/US,Pierson & Hedrick,Wyoming PH,0,
Wyoming,WY/US,Widi & Willson,Wyoming WW,0,
